,name,state,population,poverty_%,la_kids_%,la_novehicle_%,la_snap_%,fips
837,East Feliciana Parish,LA,20267,19.44,20.08,2.04,4.71,22037
838,Eastland County,TX,18583,20.57,17.22,1.8,4.35,48133
839,Eaton County,MI,107759,10.58,20.58,1.52,3.39,26045
840,Eau Claire County,WI,98736,14.68,18.32,1.61,3.39,55035
841,Echols County,GA,4034,26.38,29.33,0.87,3.72,13101
842,Ector County,TX,137130,11.9,20.39,1.0,2.98,48135
843,Eddy County,ND,2385,13.69,11.15,0.59,3.23,38027
844,Eddy County,NM,53829,15.78,21.65,1.71,4.5,35015
845,Edgar County,IL,18576,12.37,18.34,2.33,5.36,17045
846,Edgecombe County,NC,56552,23.62,20.31,3.02,8.28,37065
847,Edgefield County,SC,26985,15.7,20.64,2.17,5.6,45037
848,Edmonson County,KY,12161,17.0,21.04,1.55,6.18,21061
849,Edmunds County,SD,4071,5.45,16.38,1.15,1.28,46045
850,Edwards County,IL,6721,10.31,16.19,0.97,2.84,17047
851,Edwards County,KS,3037,8.4,13.83,0.63,1.91,20047
852,Edwards County,TX,2002,6.66,13.79,0.3,3.85,48137
853,Effingham County,GA,52250,8.63,27.46,0.9,3.01,13103
854,Effingham County,IL,34242,11.74,19.68,1.51,2.72,17049
855,El Dorado County,CA,181058,9.04,19.79,1.19,1.91,6017
856,El Paso County,CO,622263,11.09,20.28,0.98,2.5,8041
857,El Paso County,TX,800647,22.23,20.67,1.24,4.3,48141
858,Elbert County,CO,23086,4.46,24.0,0.63,1.28,8039
859,Elbert County,GA,20166,18.99,22.51,3.37,7.71,13105
860,Elk County,KS,2882,14.64,17.45,2.22,4.09,20049
861,Elk County,PA,31946,9.81,17.3,2.33,3.22,42047
862,Elkhart County,IN,197559,13.51,23.2,2.13,2.55,18039
863,Elko County,NV,48818,11.74,23.64,0.89,1.76,32007
864,Elliott County,KY,7852,29.95,19.19,1.92,10.3,21063
865,Ellis County,KS,28452,16.67,16.51,2.0,2.02,20051
866,Ellis County,OK,4151,18.08,24.43,1.47,3.3,40045
867,Ellis County,TX,149610,9.65,25.65,0.79,2.32,48139
868,Ellsworth County,KS,6497,10.94,17.64,2.39,2.26,20053
869,Elmore County,AL,79303,12.51,22.17,1.53,4.23,1051
870,Elmore County,ID,27038,13.67,25.7,1.6,4.02,16039
871,Emanuel County,GA,22598,26.95,23.09,3.19,8.12,13107
872,Emery County,UT,10976,12.8,25.28,0.81,2.16,49015
873,Emmet County,IA,10302,12.16,17.03,1.17,3.31,19063
874,Emmet County,MI,32694,9.53,18.94,1.32,2.83,26047
875,Emmons County,ND,3550,10.22,17.55,0.68,2.11,38029
876,Emporia city,VA,5927,29.17,12.16,3.76,5.31,51595
877,Erath County,TX,37890,20.84,20.0,1.95,3.79,48143
878,Erie County,NY,919040,14.97,14.83,3.03,3.76,36029
879,Erie County,OH,77079,12.11,18.93,2.15,3.91,39043
880,Erie County,PA,280566,16.53,18.94,3.7,6.0,42049
881,Escambia County,AL,38319,23.75,20.04,1.37,5.51,1053
882,Escambia County,FL,297619,13.67,18.1,1.65,4.35,12033
883,Esmeralda County,NV,783,7.17,16.86,3.07,3.7,32009
884,Essex County,MA,743159,10.57,15.86,1.94,2.71,25009
885,Essex County,NJ,783969,16.57,8.0,1.24,0.83,34013
886,Essex County,NY,39370,9.55,17.08,2.63,4.03,36031
887,Essex County,VA,11151,14.57,21.3,1.78,4.81,51057
888,Essex County,VT,6306,14.58,18.98,2.11,7.22,50009
889,Estill County,KY,14672,32.66,20.37,2.61,10.03,21065
890,Etowah County,AL,104430,17.32,20.22,1.79,4.61,1055
891,Eureka County,NV,1987,7.73,18.17,1.66,1.26,32011
892,Evangeline Parish,LA,33984,27.42,23.76,3.79,6.86,22039
893,Evans County,GA,11000,27.36,23.61,1.78,8.94,13109
894,Fairbanks North Star Borough,AK,97581,8.22,23.5,1.05,2.1,2090
895,Fairfax County,VA,1081726,6.13,15.23,0.66,0.68,51059
896,Fairfax city,VA,22565,8.71,11.28,1.08,0.51,51600
897,Fairfield County,CT,916829,8.81,17.01,1.2,1.39,9001
898,Fairfield County,OH,146156,9.64,22.48,1.4,3.81,39045
899,Fairfield County,SC,23956,22.98,21.13,2.83,6.5,45039
900,Fall River County,SD,7094,13.73,13.15,1.99,2.27,46047
901,Fallon County,MT,2890,9.72,14.6,0.42,0.55,30025
902,Falls Church city,VA,12332,2.71,5.32,0.22,0.06,51610
903,Falls County,TX,17866,26.14,18.08,2.52,4.96,48145
904,Fannin County,GA,23682,13.51,17.62,1.67,3.91,13111
905,Fannin County,TX,33915,12.83,19.76,1.41,3.58,48147
906,Faribault County,MN,14553,11.6,16.28,1.17,2.14,27043
907,Faulk County,SD,2364,12.8,19.16,0.68,0.47,46049
908,Faulkner County,AR,113237,17.47,21.61,1.45,3.35,5045
909,Fauquier County,VA,65203,6.16,22.49,0.69,1.35,51061
910,Fayette County,AL,17241,19.79,19.31,2.17,6.53,1057
911,Fayette County,GA,106567,5.58,22.73,0.67,1.35,13113
912,Fayette County,IA,20880,12.65,18.17,1.58,3.79,19065
913,Fayette County,IL,22140,17.82,21.7,1.32,6.31,17051
914,Fayette County,IN,24277,18.75,18.92,1.67,5.29,18041
915,Fayette County,KY,295803,18.67,14.93,2.2,3.06,21067
916,Fayette County,OH,29030,16.95,19.22,1.72,4.95,39047
917,Fayette County,PA,136606,17.82,17.73,2.8,7.55,42051
918,Fayette County,TN,38413,14.56,21.89,1.64,5.54,47047
919,Fayette County,TX,24554,11.0,19.43,1.79,2.74,48149
920,Fayette County,WV,46039,19.83,18.84,2.78,7.38,54019
921,Fentress County,TN,17959,21.7,21.62,3.3,9.44,47049
922,Fergus County,MT,11586,13.9,16.45,1.73,2.53,30027
923,Ferry County,WA,7551,19.11,17.56,1.59,7.42,53019
924,Fillmore County,MN,20866,11.03,19.98,1.87,2.2,27045
925,Fillmore County,NE,5890,9.93,17.79,0.49,2.39,31059
926,Finney County,KS,36776,14.73,21.3,0.93,2.19,20055
927,Fisher County,TX,3974,16.82,16.28,0.93,2.52,48151
928,Flagler County,FL,95696,11.94,18.36,1.29,3.39,12035
929,Flathead County,MT,90928,11.82,17.77,0.79,2.18,30029
930,Fleming County,KY,14348,17.78,22.18,2.43,7.35,21069
931,Florence County,SC,136885,19.66,20.94,2.57,6.2,45041
932,Florence County,WI,4423,9.83,15.53,1.63,5.49,55037
933,Floyd County,GA,96317,19.09,21.63,2.44,4.82,13115
934,Floyd County,IA,16303,15.97,18.62,2.04,3.43,19067
935,Floyd County,IN,74578,10.2,20.95,1.93,2.66,18043
936,Floyd County,KY,39451,31.53,21.3,3.53,11.64,21071
937,Floyd County,TX,6446,19.11,15.27,0.7,3.74,48153
938,Floyd County,VA,15279,11.47,20.83,1.41,3.36,51063
939,Fluvanna County,VA,25691,4.95,22.46,1.03,0.86,51065
940,Foard County,TX,1336,6.92,20.81,2.1,7.56,48155
941,Fond du Lac County,WI,101633,9.02,19.61,1.96,3.18,55039
942,Ford County,IL,14081,15.75,17.67,1.43,4.39,17053
943,Ford County,KS,33848,14.49,20.52,1.24,2.23,20057
944,Forest County,PA,7716,14.77,11.4,1.53,4.5,42053
945,Forest County,WI,9304,16.3,20.57,1.69,6.1,55041
946,Forrest County,MS,74934,26.47,19.4,2.21,5.62,28035
947,Forsyth County,GA,175511,5.95,27.2,0.48,1.24,13117
948,Forsyth County,NC,350670,18.27,19.9,2.19,3.57,37067
949,Fort Bend County,TX,585375,8.62,22.67,0.56,1.83,48157
950,Foster County,ND,3343,7.21,14.24,0.81,1.11,38031
951,Fountain County,IN,17240,11.76,19.33,1.45,4.0,18045
952,Franklin County,AL,31704,20.27,20.23,1.44,5.68,1059
953,Franklin County,AR,18125,22.03,22.12,1.78,5.31,5047
954,Franklin County,FL,11549,22.15,13.2,0.98,4.49,12037
955,Franklin County,GA,22084,24.88,20.37,1.92,8.57,13119
956,Franklin County,IA,10680,12.86,16.63,1.15,2.97,19069
957,Franklin County,ID,12786,11.73,29.93,0.53,1.18,16041
958,Franklin County,IL,39561,19.69,18.51,2.31,6.67,17055
959,Franklin County,IN,23087,8.43,24.6,1.35,2.8,18047
960,Franklin County,KS,25992,10.41,25.4,1.42,3.34,20059
961,Franklin County,KY,49285,12.71,17.82,1.58,3.44,21073
962,Franklin County,MA,71372,10.51,16.17,1.95,3.86,25011
963,Franklin County,ME,30768,12.06,17.04,2.03,5.51,23007
964,Franklin County,MO,101492,10.97,20.07,1.31,2.81,29071
965,Franklin County,MS,8118,16.58,23.82,1.31,4.8,28037
966,Franklin County,NC,60619,14.62,23.44,1.77,5.44,37069
967,Franklin County,NE,3225,13.89,15.22,0.47,2.64,31061
968,Franklin County,NY,51599,17.01,18.1,2.6,5.05,36033
969,Franklin County,OH,1163414,17.33,17.09,1.8,3.34,39049
970,Franklin County,PA,149618,10.27,20.97,1.89,3.28,42055
971,Franklin County,TN,41052,14.94,20.4,1.58,5.16,47051
972,Franklin County,TX,10605,8.57,24.38,1.18,4.03,48159
973,Franklin County,VA,56159,16.33,20.64,1.8,4.23,51067
974,Franklin County,VT,47746,7.75,20.9,1.23,3.93,50011
975,Franklin County,WA,78163,16.69,21.88,0.41,2.84,53021
976,Franklin Parish,LA,20767,27.75,21.73,2.24,6.75,22041
977,Franklin city,VA,8582,17.24,23.12,4.25,8.83,51620
978,Frederick County,MD,233385,7.25,20.1,1.06,1.74,24021
979,Frederick County,VA,78305,6.34,23.08,1.02,1.52,51069
980,Fredericksburg city,VA,24286,17.61,14.5,2.05,3.39,51630
981,Freeborn County,MN,31255,12.23,20.58,2.16,3.64,27047
982,Freestone County,TX,19816,16.64,20.74,1.45,4.31,48161
983,Fremont County,CO,46824,12.43,15.21,1.47,4.17,8043
984,Fremont County,IA,7441,9.52,22.79,1.53,4.5,19071
985,Fremont County,ID,13242,12.28,25.96,0.51,2.08,16043
986,Fremont County,WY,40123,13.69,22.5,1.49,3.17,56013
987,Fresno County,CA,930450,24.84,17.7,1.26,3.39,6019
988,Frio County,TX,17217,20.25,18.03,1.09,4.6,48163
989,Frontier County,NE,2756,10.32,15.71,0.8,1.92,31063
990,Fulton County,AR,12245,23.96,19.87,1.58,6.39,5049
991,Fulton County,GA,920581,15.57,17.75,2.74,3.48,13121
992,Fulton County,IL,37069,17.57,15.49,1.24,4.44,17057
993,Fulton County,IN,20836,13.85,21.74,2.07,2.63,18049
994,Fulton County,KY,6813,29.92,12.15,4.3,6.96,21075
995,Fulton County,NY,55531,15.61,15.31,1.64,3.52,36035
996,Fulton County,OH,42698,9.36,21.97,1.15,3.0,39051
997,Fulton County,PA,14845,11.31,20.69,2.01,4.64,42057
998,Furnas County,NE,4959,10.86,9.24,1.01,1.37,31065
999,Gadsden County,FL,46389,24.6,21.46,3.79,7.96,12039
1000,Gage County,NE,22311,9.97,17.47,0.97,2.8,31067
1001,Gaines County,TX,17526,14.25,27.63,1.21,1.75,48165
1002,Galax city,VA,7042,25.76,9.26,1.51,3.2,51640
1003,Gallatin County,IL,5589,19.66,21.18,2.88,10.74,17059
1004,Gallatin County,KY,8589,15.31,23.41,1.46,3.56,21077
1005,Gallatin County,MT,89513,13.05,16.29,0.65,0.98,30031
1006,Gallia County,OH,30934,21.9,22.36,2.49,7.5,39053
1007,Galveston County,TX,291309,13.73,20.06,1.41,3.15,48167
1008,Garden County,NE,2057,9.07,14.83,1.07,2.72,31069
1009,Garfield County,CO,56389,8.25,21.58,0.72,1.61,8045
1010,Garfield County,MT,1206,5.26,17.83,0.33,0.75,30033
1011,Garfield County,NE,2049,7.55,9.27,0.2,1.27,31071
1012,Garfield County,OK,60580,14.98,16.71,0.91,3.03,40047
1013,Garfield County,UT,5172,17.96,20.69,0.89,1.2,49017
1014,Garfield County,WA,2266,11.59,13.72,0.57,2.47,53023
1015,Garland County,AR,96024,18.74,18.83,2.69,4.49,5051
1016,Garrard County,KY,16912,17.35,22.75,1.93,6.91,21079
1017,Garrett County,MD,30097,9.68,20.99,2.42,5.87,24023
1018,Garvin County,OK,27576,16.4,19.46,1.45,3.34,40049
1019,Garza County,TX,6461,17.69,13.22,0.67,2.65,48169
1020,Gasconade County,MO,15222,9.96,17.0,1.1,2.18,29073
1021,Gaston County,NC,206086,15.96,19.98,1.78,5.04,37071
1022,Gates County,NC,12197,10.81,23.61,1.59,4.96,37073
1023,Geary County,KS,34362,12.97,26.26,1.39,2.28,20061
1024,Geauga County,OH,93389,6.07,24.9,3.19,1.52,39055
1025,Gem County,ID,16719,18.17,23.87,1.67,4.92,16045
1026,Genesee County,MI,425790,20.09,20.36,2.49,6.04,26049
1027,Genesee County,NY,60079,11.38,16.7,1.76,2.79,36037
1028,Geneva County,AL,26790,24.08,18.81,1.63,6.38,1061
1029,Gentry County,MO,6738,17.5,19.34,1.71,2.72,29075
1030,George County,MS,22578,15.0,25.15,1.79,4.56,28039
1031,Georgetown County,SC,60158,19.21,17.66,2.58,5.81,45043
1032,Gibson County,IN,33503,10.22,18.98,1.38,2.5,18051
1033,Gibson County,TN,49683,17.6,21.28,1.96,6.01,47053
1034,Gila County,AZ,53597,21.73,18.0,2.02,5.86,4007
1035,Gilchrist County,FL,16939,17.45,18.96,1.35,5.79,12041
1036,Giles County,TN,29485,14.59,20.12,1.41,5.51,47055
1037,Giles County,VA,17286,11.28,17.93,1.81,2.46,51071
1038,Gillespie County,TX,24837,11.41,17.58,1.54,2.02,48171
1039,Gilliam County,OR,1871,10.68,13.84,2.03,4.81,41021
1040,Gilmer County,GA,28292,15.93,21.6,2.03,4.66,13123
1041,Gilmer County,WV,8693,17.33,12.6,1.93,3.99,54021
1042,Gilpin County,CO,5441,4.12,17.63,2.3,2.13,8047
1043,Glacier County,MT,13399,33.71,22.85,1.34,4.28,30035
1044,Glades County,FL,12884,16.73,18.76,1.47,5.29,12043
1045,Gladwin County,MI,25692,18.19,17.12,2.73,6.66,26051
1046,Glascock County,GA,3082,18.32,26.38,2.11,5.35,13125
1047,Glasscock County,TX,1226,9.51,28.71,0.0,0.24,48173
1048,Glenn County,CA,28122,18.64,21.08,1.24,2.65,6021
1049,Gloucester County,NJ,288288,7.66,20.23,1.57,2.26,34015
1050,Gloucester County,VA,36858,8.36,20.01,1.15,2.49,51073
1051,Glynn County,GA,79626,18.44,19.53,1.76,4.95,13127
1052,Gogebic County,MI,16427,17.85,13.44,3.52,5.5,26053
1053,Golden Valley County,MT,884,14.5,21.72,0.23,5.32,30037
1054,Golden Valley County,ND,1680,6.52,24.05,2.44,1.85,38033
1055,Goliad County,TX,7210,17.07,19.72,2.68,4.7,48175
1056,Gonzales County,TX,19807,15.85,21.22,1.92,5.13,48177
1057,Goochland County,VA,21717,5.64,19.92,0.76,2.06,51075
1058,Goodhue County,MN,46183,9.95,19.61,1.24,1.72,27049
1059,Gooding County,ID,15464,15.99,18.47,0.46,1.99,16047
1060,Gordon County,GA,55186,20.04,23.58,1.71,4.84,13129
1061,Goshen County,WY,13249,11.62,16.97,0.42,2.39,56015
1062,Gosper County,NE,2044,5.11,22.41,1.47,1.27,31073
1063,Gove County,KS,2695,11.82,22.34,0.56,1.89,20063
1064,Grady County,GA,25011,23.47,22.7,1.39,6.69,13131
1065,Grady County,OK,52431,11.83,22.59,1.06,3.43,40051
1066,Grafton County,NH,89118,10.14,16.33,2.02,2.49,33009
1067,Graham County,AZ,37220,21.29,27.03,1.74,4.93,4009
1068,Graham County,KS,2597,9.79,11.98,0.62,1.96,20065
1069,Graham County,NC,8861,18.2,20.29,2.66,4.65,37075
1070,Grainger County,TN,22657,18.52,21.59,1.72,7.41,47057
1071,Grand County,CO,14843,11.36,17.14,0.77,1.95,8049
1072,Grand County,UT,9225,8.4,17.78,1.49,2.42,49019
1073,Grand Forks County,ND,66861,18.82,14.27,1.79,2.29,38035
1074,Grand Isle County,VT,6970,7.69,20.33,1.29,3.23,50013
1075,Grand Traverse County,MI,86986,9.99,18.4,1.11,2.63,26055
1076,Granite County,MT,3079,8.19,17.02,1.3,5.49,30039
1077,Grant County,AR,17853,14.67,21.78,0.78,3.7,5053
1078,Grant County,IN,70061,19.79,17.28,2.12,4.58,18053
1079,Grant County,KS,7829,8.86,21.64,0.4,1.18,20067
1080,Grant County,KY,24662,18.02,26.46,1.42,5.24,21081
1081,Grant County,MN,6018,10.39,18.98,1.69,2.94,27051
1082,Grant County,ND,2394,11.8,14.49,0.96,1.38,38037
1083,Grant County,NE,614,19.88,15.15,0.49,0.98,31075
1084,Grant County,NM,29514,21.72,18.37,2.09,6.24,35017
1085,Grant County,OK,4527,9.55,18.47,0.2,2.94,40053
1086,Grant County,OR,7445,14.87,16.21,1.37,6.88,41023
1087,Grant County,SD,7356,7.82,16.68,0.71,1.52,46051
1088,Grant County,WA,89120,14.63,22.28,1.01,4.54,53025
1089,Grant County,WI,51208,14.63,16.06,1.35,2.37,55043
1090,Grant County,WV,11937,12.36,19.94,2.99,4.47,54023
1091,Grant Parish,LA,22309,17.78,22.13,1.01,5.47,22043
1092,Granville County,NC,59916,13.13,20.85,1.54,4.32,37077
1093,Gratiot County,MI,42476,17.68,19.6,2.25,4.88,26057
1094,Graves County,KY,37121,18.22,21.09,2.16,4.24,21083
1095,Gray County,KS,6006,5.94,27.89,0.42,0.85,20069
1096,Gray County,TX,22535,15.6,17.17,1.44,3.71,48179
1097,Grays Harbor County,WA,72797,16.05,16.39,1.45,5.94,53027
1098,Grayson County,KY,25746,25.26,21.85,2.26,6.4,21085
1099,Grayson County,TX,120877,14.12,20.52,1.38,3.78,48181
1100,Grayson County,VA,15533,20.44,18.51,2.72,5.56,51077
1101,Greeley County,KS,1247,8.47,10.99,0.4,0.88,20071
1102,Greeley County,NE,2538,9.52,19.62,0.83,1.1,31077
1103,Green County,KY,11258,17.8,22.46,2.68,7.25,21087
1104,Green County,WI,36842,7.67,20.1,0.98,3.0,55045
1105,Green Lake County,WI,19051,11.07,17.3,2.25,3.25,55047
1106,Greenbrier County,WV,35480,18.26,17.54,3.14,6.16,54025
1107,Greene County,AL,9045,37.73,21.82,4.85,15.48,1063
1108,Greene County,AR,42090,16.25,22.94,1.44,5.33,5055
1109,Greene County,GA,15994,24.24,19.13,2.88,5.98,13133
1110,Greene County,IA,9336,8.89,17.15,1.45,4.85,19073
1111,Greene County,IL,13886,14.37,15.95,1.17,4.09,17061
1112,Greene County,IN,33165,14.09,20.44,1.38,3.99,18055
1113,Greene County,MO,275174,18.87,16.53,1.64,3.02,29077
1114,Greene County,MS,14400,14.51,20.54,0.92,4.72,28041
1115,Greene County,NC,21362,25.99,21.93,2.39,7.96,37079
1116,Greene County,NY,49221,12.68,18.51,3.21,2.97,36039
1117,Greene County,OH,161573,13.09,17.84,1.56,2.76,39057
1118,Greene County,PA,38686,13.82,18.46,2.77,5.82,42059
1119,Greene County,TN,68831,17.19,19.14,1.47,5.63,47059
1120,Greene County,VA,18403,6.13,22.73,0.99,2.57,51079
1121,Greenlee County,AZ,8437,12.43,21.43,1.07,2.56,4011
1122,Greensville County,VA,12243,12.18,16.38,2.26,5.69,51081
1123,Greenup County,KY,36910,15.88,19.8,1.31,5.01,21089
1124,Greenville County,SC,451225,12.45,20.39,1.81,3.09,45045
1125,Greenwood County,KS,6689,12.35,17.12,1.81,3.72,20073
1126,Greenwood County,SC,69661,22.32,19.75,2.38,5.54,45047
1127,Greer County,OK,6239,21.37,15.18,1.96,5.74,40055
1128,Gregg County,TX,121730,18.14,20.27,1.94,4.43,48183
1129,Gregory County,SD,4271,13.9,18.12,1.66,3.37,46053
1130,Grenada County,MS,21906,24.41,20.0,2.33,3.8,28043
1131,Griggs County,ND,2420,8.07,11.49,0.87,1.53,38039
1132,Grimes County,TX,26604,22.0,19.2,1.52,4.16,48185
1133,Grundy County,IA,12453,6.12,17.91,0.79,1.74,19075
1134,Grundy County,IL,50063,8.72,23.87,1.01,3.36,17063
1135,Grundy County,MO,10261,16.28,21.79,2.69,3.9,29079
1136,Grundy County,TN,13703,24.18,21.91,2.18,9.68,47061
1137,Guadalupe County,NM,4687,14.53,15.45,1.62,4.22,35019
1138,Guadalupe County,TX,131533,9.9,25.22,0.85,2.13,48187
1139,Guernsey County,OH,40087,20.4,21.8,2.9,6.1,39059
1140,Guilford County,NC,488406,16.55,18.44,1.79,4.14,37081
1141,Gulf County,FL,15863,14.97,14.64,1.07,3.31,12045
1142,Gunnison County,CO,15324,13.66,11.97,0.86,1.61,8051
1143,Guthrie County,IA,10954,11.08,19.74,0.92,3.01,19077
1144,Gwinnett County,GA,805321,11.45,22.65,0.73,2.04,13135
1145,Haakon County,SD,1937,13.31,15.07,0.62,0.52,46055
1146,Habersham County,GA,43041,14.54,21.56,1.59,4.28,13137
1147,Haines Borough,AK,2508,9.04,15.51,1.91,2.63,2100
1148,Hale County,AL,15760,26.28,21.94,3.57,8.89,1065
1149,Hale County,TX,36273,18.55,22.18,1.23,3.92,48189
1150,Halifax County,NC,54691,25.02,18.5,3.79,9.51,37083
1151,Halifax County,VA,36241,15.42,20.59,2.97,5.09,51083
1152,Hall County,GA,179684,14.62,22.76,1.26,2.84,13139
1153,Hall County,NE,58607,13.16,18.32,1.21,2.83,31079
1154,Hall County,TX,3353,23.18,19.59,2.42,6.14,48191
1155,Hamblen County,TN,62544,19.4,19.67,1.64,5.76,47063
1156,Hamilton County,FL,14799,28.66,17.42,2.46,8.51,12047
1157,Hamilton County,IA,15673,9.71,16.76,1.28,2.3,19079
1158,Hamilton County,IL,8457,9.5,17.77,1.45,3.38,17065
1159,Hamilton County,IN,274569,4.81,27.43,0.7,1.0,18057
1160,Hamilton County,KS,2690,11.24,13.9,0.63,0.97,20075
1161,Hamilton County,NE,9124,4.92,22.13,0.73,1.37,31081
1162,Hamilton County,NY,4836,7.72,16.23,2.17,3.56,36041
1163,Hamilton County,OH,802374,16.63,17.37,3.05,3.71,39061
1164,Hamilton County,TN,336463,14.18,18.24,2.34,4.45,47065
1165,Hamilton County,TX,8517,16.19,16.09,1.26,4.31,48193
1166,Hamlin County,SD,5903,5.77,30.58,1.25,1.36,46057
1167,Hampden County,MA,463490,17.09,15.17,2.59,4.36,25013
1168,Hampshire County,MA,158080,17.11,15.14,2.44,2.81,25015
1169,Hampshire County,WV,23964,19.99,21.19,2.11,5.64,54027
1170,Hampton County,SC,21090,18.79,21.58,2.13,5.54,45049
1171,Hampton city,VA,137436,16.77,15.71,2.17,3.06,51650
1172,Hancock County,GA,9429,24.61,16.77,2.99,7.99,13141
1173,Hancock County,IA,11341,8.19,18.62,1.2,1.97,19081
1174,Hancock County,IL,19104,11.94,20.53,1.76,4.1,17067
1175,Hancock County,IN,70002,7.23,23.81,1.0,1.7,18059
1176,Hancock County,KY,8565,12.65,24.23,1.34,4.39,21091
1177,Hancock County,ME,54418,11.3,16.26,1.99,4.35,23009
1178,Hancock County,MS,43929,17.31,22.11,1.99,5.59,28045
1179,Hancock County,OH,74782,11.9,18.7,2.0,2.79,39063
1180,Hancock County,TN,6819,25.7,19.89,3.05,11.35,47067
1181,Hancock County,WV,30676,12.94,16.71,3.11,5.26,54029
1182,Hand County,SD,3431,8.97,13.61,0.35,0.73,46059
1183,Hanover County,VA,99863,5.84,22.12,0.75,1.34,51085
1184,Hansford County,TX,5613,16.72,15.55,0.55,1.07,48195
1185,Hanson County,SD,3331,6.71,32.45,0.27,0.72,46061
1186,Haralson County,GA,28780,15.49,22.38,1.51,5.41,13143
1187,Hardee County,FL,27731,27.09,23.44,1.46,6.2,12049
1188,Hardeman County,TN,27253,21.17,19.65,1.93,5.94,47069
1189,Hardeman County,TX,4139,12.58,18.17,1.33,3.38,48197
1190,Hardin County,IA,17534,7.89,15.95,1.47,1.73,19083
1191,Hardin County,IL,4320,16.36,16.34,2.94,6.34,17069
1192,Hardin County,KY,105543,13.78,22.44,1.58,3.64,21093
1193,Hardin County,OH,32058,17.05,19.63,1.9,3.84,39065
1194,Hardin County,TN,26026,20.41,19.42,1.97,6.97,47071
1195,Hardin County,TX,54635,13.0,22.57,1.38,3.32,48199
1196,Harding County,NM,695,18.3,13.24,4.03,1.87,35021
1197,Harding County,SD,1255,8.46,23.27,0.32,0.64,46063
1198,Hardy County,WV,14025,10.94,19.88,1.52,3.61,54031
1199,Harford County,MD,244826,7.52,19.61,1.27,2.11,24025
1200,Harlan County,KY,29278,35.97,19.43,4.01,10.32,21095
1201,Harlan County,NE,3423,11.25,14.08,0.47,1.67,31083
1202,Harmon County,OK,2922,15.73,16.7,1.81,4.14,40057
1203,Harnett County,NC,114678,17.65,24.6,1.67,4.62,37085
1204,Harney County,OR,7422,16.53,16.57,1.1,5.79,41025
1205,Harper County,KS,6034,15.67,17.32,1.09,2.93,20077
1206,Harper County,OK,3685,10.16,19.21,1.11,2.2,40059
1207,Harris County,GA,32024,6.86,22.89,0.96,2.75,13145
1208,Harris County,TX,4092459,16.6,17.02,1.04,2.45,48201
1209,Harrison County,IA,14928,10.1,19.1,1.55,3.34,19085
1210,Harrison County,IN,39364,10.43,22.71,1.36,2.95,18061
1211,Harrison County,KY,18846,17.31,21.2,1.77,4.75,21097
1212,Harrison County,MO,8957,18.64,21.85,2.01,4.25,29081
1213,Harrison County,MS,187105,20.32,20.91,1.89,5.74,28047
1214,Harrison County,OH,15864,16.68,18.68,2.84,5.21,39067
1215,Harrison County,TX,65631,16.29,22.6,1.69,4.24,48203
1216,Harrison County,WV,69099,15.63,16.99,2.1,4.29,54033
1217,Harrisonburg city,VA,48914,27.83,6.32,0.83,1.69,51660
1218,Hart County,GA,25213,17.42,21.14,1.75,6.15,13147
1219,Hart County,KY,18199,21.62,22.12,4.24,6.1,21099
1220,Hartford County,CT,894014,11.41,15.18,1.67,2.54,9003
1221,Hartley County,TX,6062,6.33,15.9,0.05,1.11,48205
1222,Harvey County,KS,34684,11.17,20.31,1.31,1.71,20079
1223,Haskell County,KS,4256,12.7,23.38,0.28,0.68,20081
1224,Haskell County,OK,12769,19.75,21.3,1.44,6.65,40061
1225,Haskell County,TX,5899,20.2,16.87,1.86,6.03,48207
1226,Hawaii County,HI,185079,16.81,20.48,1.38,5.98,15001
1227,Hawkins County,TN,56833,19.21,20.36,2.13,7.37,47073
1228,Hayes County,NE,967,12.41,23.06,0.72,1.96,31085
1229,Hays County,TX,157107,16.53,22.52,0.9,1.97,48209
1230,Haywood County,NC,59036,14.02,17.92,1.67,4.76,37087
1231,Haywood County,TN,18787,19.51,19.33,2.48,7.4,47075
1232,Heard County,GA,11834,16.12,25.23,1.88,8.43,13149
1233,Hemphill County,TX,3807,14.02,18.86,0.84,2.73,48211
1234,Hempstead County,AR,22609,24.73,23.46,2.56,4.85,5057
1235,Henderson County,IL,7331,8.26,14.9,0.9,2.69,17071
1236,Henderson County,KY,46250,18.76,17.14,1.75,3.63,21101
1237,Henderson County,NC,106740,10.69,17.6,1.35,2.72,37089
1238,Henderson County,TN,27769,19.89,22.28,2.24,7.97,47077
1239,Henderson County,TX,78532,17.33,21.28,1.74,4.63,48213
1240,Hendricks County,IN,145448,5.26,24.94,0.63,1.29,18063
1241,Hendry County,FL,39140,27.28,22.74,1.95,6.82,12051
1242,Hennepin County,MN,1152425,11.19,15.43,1.57,1.68,27053
1243,Henrico County,VA,306935,10.12,17.63,1.55,2.13,51087
1244,Henry County,AL,17302,13.91,20.84,1.98,6.53,1067
1245,Henry County,GA,203922,10.39,26.49,0.65,3.19,13151
1246,Henry County,IA,20145,11.05,21.45,1.15,3.97,19087
1247,Henry County,IL,50486,12.11,19.56,1.61,3.34,17073
1248,Henry County,IN,49462,15.61,18.7,1.36,3.44,18065
1249,Henry County,KY,15416,18.97,23.27,1.65,6.36,21103
1250,Henry County,MO,22272,21.46,19.07,2.06,6.12,29083
